Time (s),CPU Utilization (%)
0,0.0
15,0.0
30,0.27657135170941066
45,0.3478192175735385
60,0.6545100787067164
75,0.45978861173271074
90,0.8306111827461649
105,0.7483191119602619
120,0.3795961743954031
135,0.5098344202629579
150,0.8921068327301853
165,0.10128096819604528
180,0.5843289020611405
195,0.2960806875613403
210,0.48690115103886
225,0.7467578388842007
240,0.8033887800558107
255,0.7976536514714944
270,0.4678362280289309
285,0.5313499417800003
300,0.46515039352585663
315,0.3535758045674195
330,0.7170343776109795
345,0.523638889692766
360,0.449727837121795
375,0.23195910916597196
390,0.2114375373070467
405,0.6329471468090107
420,0.5815870648943056
435,0.8045620843853369
450,0.7149405707200157
465,0.6700895834576565
480,0.483565646120663
495,0.3362545220987376
510,0.4838173582134967
525,0.35654412180396733
540,0.28781708603827566
555,0.3797178302639551
570,0.6458673245756626
585,0.08066912876829743
