Time (s),CPU Utilization (%)
0,0.0
15,0.0
30,0.13098292434168513
45,0.06442163859768493
60,0.35333396476481005
75,0.5947290133272142
90,0.6962487783537562
105,0.4527478194665925
120,0.2793033695318637
135,0.18490068320393596
150,0.7266176548999048
165,0.49813091984836894
180,0.5319635623278918
195,0.5905312584971045
210,0.42517637560976973
225,0.3735661060846257
240,0.4630326221996164
255,0.3121943737019633
270,0.6043637955494128
285,0.515753282177494
300,0.6496816819943363
315,0.5402975052647984
330,0.22754769441944003
345,0.5075177240945601
360,0.7502063720410894
375,0.3801310884274832
390,0.4181811513147057
405,0.2975992756539851
420,0.16391762841921542
435,0.6902371347710562
450,0.19069038277373107
465,0.22833654193991773
480,0.07006884481314841
495,0.5604068869497048
510,0.4191126415358079
525,0.37732426467690616
540,0.4620068910872875
555,0.17774370576588114
570,0.1895178272793249
585,0.5048746968054977
