Time (s),CPU Utilization (%)
0,0.0
15,0.0
30,2.409070638101207
45,1.216175171967135
60,0.6864886393980687
75,0.5365740941048041
90,0.42931080112252373
105,0.8508408978229804
120,0.4563089674747807
135,0.5675753131837306
150,0.3307839453907716
165,0.47725964606228594
180,0.5037897883171785
195,0.5730530533150804
210,0.7014314034265358
225,0.7806943913715546
240,0.851383372973559
255,0.11584973939637236
270,0.6265411438705726
285,0.48844519763067296
300,0.47822409633427837
315,0.28896348646328496
330,0.4840466561670992
345,0.6285897526523965
360,0.397788940926553
375,0.4208977693176496
390,0.5957104367583124
405,0.5542989816928399
420,0.32884456907848303
435,0.41856339630902695
450,0.6340297847863544
465,0.4927319822362745
480,0.2696839784552418
495,0.5337971045012151
510,0.28512954632267373
525,0.5007772576244574
540,0.33777025438349306
555,0.17523032216124568
570,0.2294064812150559
585,0.04448291185298596
