Time (s),CPU Utilization (%)
0,0.0
15,0.0
30,8.711734116187545
45,6.49034340333439
60,2.6583650471313662
75,2.5059109493433764
90,1.2329086527638387
105,1.9648692634187668
120,1.267813467259572
135,0.23479691445098047
150,0.8814277825209462
165,1.5025450867449412
180,0.9668926873090835
195,2.29019788880934
210,0.8522639684963127
225,2.100660117240733
240,2.640261950452518
255,2.924163459740865
270,1.4886121610281744
285,1.9685517390377842
300,1.5576358280427225
315,2.346171980369499
330,2.4877043073435465
345,1.7814460635744778
360,2.1267608910493383
375,2.0980852724224577
390,1.2669697138347082
405,1.054844859604158
420,1.0238059966931647
435,1.9007784408276747
450,1.5480306247313598
465,1.3019916681319954
480,1.1852561098127838
495,2.122230580925938
510,0.7259500928271637
525,1.6489935595874625
540,2.014322054637929
555,1.0774949573220247
570,1.232530362503514
585,1.414060777495356
