Time (s),CPU Utilization (%)
0,0.0
15,0.0
30,1.7022671051946479
45,0.3637289134905146
60,3.384478605545338
75,1.431567812397534
90,0.680204027066713
105,5.970510744494789
120,2.9901653561981933
135,3.97979528052131
150,4.038007922046062
165,2.0944395884101343
180,3.3859068839991053
195,4.139291408934036
210,2.2778029516789027
225,2.020935164801005
240,4.333278019402659
255,3.8572504331437685
270,4.462525155281568
285,2.2319240751144553
300,2.253338754251747
315,3.446044500397048
330,2.682905785659022
345,2.5464341210573687
360,4.636173655509892
375,2.511851565196556
390,2.3472979099548805
405,4.1880961448306895
420,3.076379060953051
435,2.0764171693376037
450,3.7263386638304534
465,1.8717860407677904
480,2.6898443124560147
495,3.450029570068625
510,1.8803550466756005
525,2.0528162111066077
540,1.6328265553995236
555,0.7571528555795656
570,1.983307866962789
585,0.9705870817218993
