Linux 5.15.0-119-generic (gl6) 	10/04/2024 	_x86_64_	(32 CPU)

09:46:17 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:46:32 PM     all      0.86      0.00      0.61      0.00      0.00     98.53
09:46:47 PM     all      0.86      0.00      0.55      0.00      0.00     98.59
09:47:02 PM     all      0.81      0.00      0.54      0.00      0.00     98.65
09:47:17 PM     all      0.80      0.00      0.57      0.00      0.00     98.63
09:47:32 PM     all      0.88      0.00      0.59      0.00      0.00     98.53
09:47:47 PM     all      5.73      0.00      1.44      0.00      0.00     92.82
09:48:02 PM     all      5.09      0.00      2.16      0.00      0.00     92.74
09:48:17 PM     all      3.22      0.00      1.12      0.00      0.00     95.65
09:48:32 PM     all      7.11      0.00      1.45      0.00      0.00     91.44
09:48:47 PM     all      5.60      0.00      1.96      0.00      0.00     92.44
09:49:02 PM     all      7.87      0.00      2.02      0.00      0.00     90.11
09:49:17 PM     all      4.67      0.00      2.35      0.00      0.00     92.98
09:49:32 PM     all      3.72      0.00      2.72      0.00      0.00     93.55
09:49:47 PM     all      5.62      0.00      3.22      0.00      0.00     91.16
09:50:02 PM     all      6.10      0.00      2.75      0.00      0.00     91.15
09:50:17 PM     all      3.90      0.00      1.51      0.00      0.00     94.59
09:50:32 PM     all      3.47      0.00      1.54      0.00      0.00     95.00
09:50:47 PM     all      2.97      0.00      2.39      0.00      0.00     94.64
09:51:02 PM     all      3.55      0.00      2.86      0.00      0.00     93.59
09:51:17 PM     all      3.47      0.00      2.87      0.00      0.00     93.66
09:51:32 PM     all      3.95      0.00      3.00      0.00      0.00     93.05
09:51:47 PM     all      3.56      0.00      2.77      0.00      0.00     93.67
09:52:02 PM     all      4.13      0.00      2.97      0.00      0.00     92.90
09:52:17 PM     all      5.23      0.00      3.24      0.00      0.00     91.53
09:52:32 PM     all      4.26      0.00      3.09      0.00      0.00     92.65
09:52:47 PM     all      3.69      0.00      1.75      0.00      0.00     94.56
09:53:02 PM     all      3.01      0.00      1.74      0.00      0.00     95.25
09:53:17 PM     all      2.80      0.00      1.54      0.00      0.00     95.66
09:53:32 PM     all      3.47      0.00      1.90      0.00      0.00     94.63
09:53:47 PM     all      2.29      0.00      0.98      0.00      0.00     96.73
09:54:02 PM     all      0.93      0.00      0.61      0.00      0.00     98.47
09:54:17 PM     all      0.85      0.00      0.58      0.00      0.00     98.57
09:54:32 PM     all      1.00      0.00      0.56      0.00      0.00     98.44
09:54:47 PM     all      0.91      0.00      0.55      0.00      0.00     98.54
09:55:02 PM     all      1.02      0.00      0.58      0.00      0.00     98.39
09:55:17 PM     all      1.05      0.00      0.63      0.00      0.00     98.32
09:55:32 PM     all      0.86      0.00      0.57      0.00      0.00     98.57
09:55:47 PM     all      0.93      0.00      0.58      0.00      0.00     98.49
Average:        all      3.16      0.00      1.65      0.00      0.00     95.19
