Running for 570.0 seconds (38 samples at 15.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
21:46:32   0.9   0.0   0.6  98.6   0.0    3  12442   6718  187   96  188  37.27 
21:46:47   0.8   0.0   0.5  98.6   0.0    1  12423   6674  183  100  182  37.31 
21:47:02   0.8   0.0   0.5  98.7   0.0    1  12391   6628  187  101  184  36.99 
21:47:17   0.8   0.0   0.5  98.7   0.0    2  12439   6675  205  102  207  37.20 
21:47:32   0.9   0.0   0.6  98.6   0.0    2  12390   6601  187   96  186  37.18 
21:47:47   5.8   0.0   1.0  93.2   0.0    6  23759  18070  189  100  182  50.86 
21:48:02   5.1   0.0   1.3  93.6   0.0    6  30074  25871  185  101  179  47.87 
21:48:17   3.2   0.0   0.8  95.9   0.0    1  18255  14380  197  100  201  43.01 
21:48:32   7.2   0.0   1.0  91.8   0.0    5  22503  19353  191   96  184  52.04 
21:48:47   5.6   0.0   1.3  93.1   0.0    6  26308  23483  185  100  184  47.16 
21:49:02   8.0   0.0   1.3  90.8   0.0   14  27656  24788  180  101  184  53.97 
21:49:17   4.7   0.0   1.3  94.1   0.0    4  28102  27909  201  101  197  47.27 
21:49:32   3.8   0.0   1.5  94.7   0.0    3  29984  31742  192   97  193  45.20 
21:49:47   5.7   0.0   1.8  92.5   0.0    6  38302  34273  191  101  185  47.30 
21:50:02   6.2   0.0   1.5  92.4   0.0    7  35072  31997  184  101  184  46.72 
21:50:17   3.9   0.0   0.9  95.2   0.0    3  21398  22262  202  102  203  43.93 
21:50:32   3.5   0.0   1.0  95.5   0.0    1  20161  21110  190   98  189  44.79 
21:50:47   3.0   0.0   1.4  95.6   0.0    3  27737  25995  194  101  196  43.81 
21:51:02   3.6   0.0   1.7  94.7   0.0    2  31116  28266  181  100  180  44.70 
21:51:17   3.5   0.0   1.5  94.9   0.0    6  31076  30661  195  100  201  44.94 
21:51:32   4.0   0.0   1.5  94.5   0.0    1  32378  32709  186   97  185  45.64 
21:51:47   3.6   0.0   1.4  95.0   0.0    3  31875  31829  193   96  175  45.39 
21:52:02   4.2   0.0   1.5  94.3   0.0    5  34561  32906  166   99  183  46.29 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
21:52:17   5.3   0.0   1.8  92.9   0.0    5  41454  35723  202  104  200  47.72 
21:52:32   4.3   0.0   1.7  94.0   0.0    1  37667  33901  192  100  191  45.72 
21:52:47   3.7   0.0   1.0  95.3   0.0    4  21108  22282  191   87  189  45.82 
21:53:02   3.0   0.0   1.1  95.9   0.0    3  22998  22394  184  103  181  44.37 
21:53:17   2.8   0.0   1.0  96.2   0.0    1  21113  19802  210  106  208  43.86 
21:53:32   3.5   0.0   1.1  95.4   0.0    4  25067  22156  190   97  193  44.74 
21:53:47   2.3   0.0   0.8  96.9   0.0    3  18161  11408  205  104  208  42.62 
21:54:02   0.9   0.0   0.6  98.5   0.0    2  12700   7030  188  105  188  37.64 
21:54:17   0.9   0.0   0.6  98.6   0.0    2  12489   6874  195  104  197  37.47 
21:54:32   1.0   0.0   0.5  98.5   0.0    2  12599   6850  186   99  182  37.72 
21:54:47   0.9   0.0   0.5  98.6   0.0    1  12372   6740  198  101  207  37.55 
21:55:02   1.0   0.0   0.6  98.4   0.0    1  12809   7016  197  109  196  37.62 
21:55:17   1.1   0.0   0.6  98.3   0.0    1  12433   6833  197  102  198  37.43 
21:55:32   0.9   0.0   0.5  98.6   0.0    1  12792   6945  204  114  197  37.77 
21:55:47   0.9   0.0   0.6  98.5   0.0    2  12742   6935  202  103  208  38.10 
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------ 
 Average   3.2   0.0   1.0  95.8   0.0  3.3 22655.4 19310.2 191.9 100.6 191.4  43.24 
 GeoMean   2.5   0.0   0.9  95.7   0.0  2.5 20866.2 15980.0 191.7 100.5 191.2  42.98 
  StdDev   2.0   0.0   0.4   2.3   0.0  2.5 8935.2 10412.1  8.5  4.2  9.3   4.68 
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------ 
 Minimum   0.8   0.0   0.5  90.8   0.0  1.0 12372.4 6600.7 166.0 87.0 175.0  36.99 
 Maximum   8.0   0.0   1.8  98.7   0.0 14.0 41453.9 35722.5 210.0 114.0 208.0  53.97 
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------ 
Summary:
CPU:  43.24 Watts on average with standard deviation 4.68  
Note: power read from RAPL domains: dram, package-0, dram, package-1.
These readings do not cover all the hardware in this device.
